test_id,message_length,sha256_bits_changed,esha256_bits_changed
1,16,135,128
2,17,135,120
3,18,123,109
4,19,125,129
5,20,133,119
6,21,152,135
7,22,125,137
8,23,122,126
9,24,139,135
10,25,128,141
11,26,125,144
12,27,123,136
13,28,137,114
14,29,128,126
15,30,120,130
16,31,129,128
17,32,135,130
18,33,128,129
19,34,116,128
20,35,125,120
21,36,136,137
22,37,132,129
23,38,126,127
24,39,136,116
25,40,123,121
26,41,116,117
27,42,126,134
28,43,129,116
29,44,128,134
30,45,126,138
31,46,121,130
32,47,121,128
33,48,123,108
34,49,124,122
35,50,127,129
36,51,133,115
37,52,115,128
38,53,125,137
39,54,143,117
40,55,146,140
41,56,133,132
42,57,124,125
43,58,98,116
44,59,126,113
45,60,139,130
46,61,125,115
47,62,135,135
48,63,135,132
49,64,125,128
50,65,118,139
51,66,116,133
52,67,130,131
53,68,133,140
54,69,119,140
55,70,133,130
56,71,119,120
57,72,125,125
58,73,141,131
59,74,125,129
60,75,128,128
61,76,116,127
62,77,126,130
63,78,123,125
64,79,132,127
65,80,139,125
66,81,139,136
67,82,109,132
68,83,135,119
69,84,125,125
70,85,134,128
71,86,128,133
72,87,122,127
73,88,133,134
74,89,136,131
75,90,114,129
76,91,114,129
77,92,120,129
78,93,122,135
79,94,137,127
80,95,134,127
81,96,124,134
82,97,125,135
83,98,141,123
84,99,128,121
85,100,128,122
86,101,132,137
87,102,121,123
88,103,121,126
89,104,116,128
90,105,127,123
91,106,141,124
92,107,126,131
93,108,128,124
94,109,132,124
95,110,123,131
96,111,131,131
97,112,127,130
98,113,142,136
99,114,142,121
100,115,131,114
101,116,128,122
102,117,112,116
103,118,133,126
104,119,123,120
105,120,126,117
106,121,149,129
107,122,129,116
108,123,128,130
109,124,131,131
110,125,134,130
111,126,125,128
112,127,134,132
113,16,134,133
114,17,135,136
115,18,128,129
116,19,128,122
117,20,131,141
118,21,129,137
119,22,124,140
120,23,135,128
121,24,141,132
122,25,122,128
123,26,127,122
124,27,121,140
125,28,134,136
126,29,135,128
127,30,139,132
128,31,118,143
129,32,128,124
130,33,136,139
131,34,114,134
132,35,121,118
133,36,116,128
134,37,132,112
135,38,134,123
136,39,134,119
137,40,123,130
138,41,135,124
139,42,122,135
140,43,130,107
141,44,127,124
142,45,126,128
143,46,125,133
144,47,110,107
145,48,138,125
146,49,123,133
147,50,140,128
148,51,138,144
149,52,131,127
150,53,135,128
151,54,134,137
152,55,118,130
153,56,137,124
154,57,111,120
155,58,121,126
156,59,130,133
157,60,128,126
158,61,123,132
159,62,134,135
160,63,134,124
161,64,147,126
162,65,127,136
163,66,126,117
164,67,140,134
165,68,125,137
166,69,130,128
167,70,140,134
168,71,136,125
169,72,123,130
170,73,134,151
171,74,127,118
172,75,139,125
173,76,130,122
174,77,129,126
175,78,126,120
176,79,136,118
177,80,124,128
178,81,122,121
179,82,139,132
180,83,118,136
181,84,134,128
182,85,131,135
183,86,112,130
184,87,137,125
185,88,133,129
186,89,127,123
187,90,134,140
188,91,146,120
189,92,120,129
190,93,137,131
191,94,124,143
192,95,136,136
193,96,129,135
194,97,137,130
195,98,129,120
196,99,108,130
197,100,128,131
198,101,126,118
199,102,133,120
200,103,123,116
201,104,122,126
202,105,125,131
203,106,139,125
204,107,124,146
205,108,134,126
206,109,126,119
207,110,134,141
208,111,118,147
209,112,152,134
210,113,134,122
211,114,116,118
212,115,116,116
213,116,131,136
214,117,127,124
215,118,132,112
216,119,120,134
217,120,137,131
218,121,120,130
219,122,116,118
220,123,138,139
221,124,128,126
222,125,120,130
223,126,135,118
224,127,132,119
225,16,122,113
226,17,123,125
227,18,124,135
228,19,128,133
229,20,119,133
230,21,130,129
231,22,131,116
232,23,126,120
233,24,125,123
234,25,138,133
235,26,128,136
236,27,136,125
237,28,131,129
238,29,125,133
239,30,119,119
240,31,131,138
241,32,140,132
242,33,111,137
243,34,131,133
244,35,140,125
245,36,127,140
246,37,132,135
247,38,118,133
248,39,114,133
249,40,131,138
250,41,129,118
251,42,123,134
252,43,127,120
253,44,132,132
254,45,125,118
255,46,135,134
256,47,149,109
257,48,125,121
258,49,124,122
259,50,125,139
260,51,129,122
261,52,146,130
262,53,129,133
263,54,127,127
264,55,121,126
265,56,122,126
266,57,123,129
267,58,138,120
268,59,122,124
269,60,144,130
270,61,140,130
271,62,117,131
272,63,120,127
273,64,127,141
274,65,125,135
275,66,133,137
276,67,118,153
277,68,134,113
278,69,134,111
279,70,124,119
280,71,131,128
281,72,121,132
282,73,119,129
283,74,130,128
284,75,127,139
285,76,122,138
286,77,125,136
287,78,123,134
288,79,130,123
289,80,105,125
290,81,139,132
291,82,116,128
292,83,117,121
293,84,121,125
294,85,125,133
295,86,133,115
296,87,141,129
297,88,138,117
298,89,128,126
299,90,114,127
300,91,125,138
301,92,128,131
302,93,141,140
303,94,134,129
304,95,135,139
305,96,123,134
306,97,133,122
307,98,114,138
308,99,125,117
309,100,146,137
310,101,134,132
311,102,130,136
312,103,124,124
313,104,145,132
314,105,120,121
315,106,136,130
316,107,114,123
317,108,135,122
318,109,139,133
319,110,115,128
320,111,118,136
321,112,126,129
322,113,125,117
323,114,138,139
324,115,123,126
325,116,140,119
326,117,127,120
327,118,121,123
328,119,116,131
329,120,134,122
330,121,114,122
331,122,120,123
332,123,129,120
333,124,137,120
334,125,133,130
335,126,132,126
336,127,130,117
337,16,130,135
338,17,120,127
339,18,124,134
340,19,129,142
341,20,145,130
342,21,130,139
343,22,129,127
344,23,125,119
345,24,123,123
346,25,131,117
347,26,107,141
348,27,116,134
349,28,138,125
350,29,130,112
351,30,131,120
352,31,122,113
353,32,135,121
354,33,125,141
355,34,129,119
356,35,128,127
357,36,123,125
358,37,129,136
359,38,118,118
360,39,125,123
361,40,118,103
362,41,137,120
363,42,124,115
364,43,131,127
365,44,133,134
366,45,134,136
367,46,127,137
368,47,124,133
369,48,141,129
370,49,136,128
371,50,133,134
372,51,132,137
373,52,124,125
374,53,150,130
375,54,116,133
376,55,146,137
377,56,126,129
378,57,122,138
379,58,122,145
380,59,119,126
381,60,138,127
382,61,125,131
383,62,143,121
384,63,134,132
385,64,111,125
386,65,123,131
387,66,134,131
388,67,127,140
389,68,135,136
390,69,131,139
391,70,136,126
392,71,136,129
393,72,118,121
394,73,106,139
395,74,133,130
396,75,121,119
397,76,128,144
398,77,119,132
399,78,124,128
400,79,135,115
401,80,124,138
402,81,122,131
403,82,121,125
404,83,121,124
405,84,119,114
406,85,137,131
407,86,130,130
408,87,133,146
409,88,135,128
410,89,126,117
411,90,123,127
412,91,124,130
413,92,124,128
414,93,135,143
415,94,133,122
416,95,140,117
417,96,110,137
418,97,140,124
419,98,115,117
420,99,122,132
421,100,124,101
422,101,129,127
423,102,113,129
424,103,130,118
425,104,114,129
426,105,131,120
427,106,122,121
428,107,125,114
429,108,139,130
430,109,121,129
431,110,128,126
432,111,123,120
433,112,122,122
434,113,117,129
435,114,118,134
436,115,131,130
437,116,127,130
438,117,127,131
439,118,122,137
440,119,131,132
441,120,129,126
442,121,125,114
443,122,132,144
444,123,134,121
445,124,122,136
446,125,130,125
447,126,126,123
448,127,125,123
449,16,125,135
450,17,135,128
451,18,129,134
452,19,124,127
453,20,118,121
454,21,121,119
455,22,121,126
456,23,126,126
457,24,137,119
458,25,133,128
459,26,128,134
460,27,132,123
461,28,124,132
462,29,123,128
463,30,123,133
464,31,118,129
465,32,140,124
466,33,120,129
467,34,129,131
468,35,128,137
469,36,134,119
470,37,121,126
471,38,133,137
472,39,127,122
473,40,130,122
474,41,133,124
475,42,122,124
476,43,129,130
477,44,132,126
478,45,113,135
479,46,143,121
480,47,131,119
481,48,131,128
482,49,125,140
483,50,133,153
484,51,119,138
485,52,129,130
486,53,124,120
487,54,120,128
488,55,134,128
489,56,117,123
490,57,125,131
491,58,136,124
492,59,128,125
493,60,127,135
494,61,126,134
495,62,133,126
496,63,124,111
497,64,128,128
498,65,117,131
499,66,138,116
500,67,135,116
501,68,119,137
502,69,136,127
503,70,130,135
504,71,117,121
505,72,109,143
506,73,123,125
507,74,129,130
508,75,130,130
509,76,129,142
510,77,127,122
511,78,123,114
512,79,118,123
513,80,122,118
514,81,139,130
515,82,146,118
516,83,121,138
517,84,146,134
518,85,140,132
519,86,127,124
520,87,143,128
521,88,130,140
522,89,142,129
523,90,143,132
524,91,116,136
525,92,130,116
526,93,133,110
527,94,116,129
528,95,135,116
529,96,124,127
530,97,129,136
531,98,139,143
532,99,141,145
533,100,125,116
534,101,132,134
535,102,128,122
536,103,126,136
537,104,124,127
538,105,126,119
539,106,134,126
540,107,124,141
541,108,126,144
542,109,122,130
543,110,126,136
544,111,126,131
545,112,131,125
546,113,124,131
547,114,127,121
548,115,137,118
549,116,131,123
550,117,146,134
551,118,126,114
552,119,138,124
553,120,123,116
554,121,132,123
555,122,115,123
556,123,126,138
557,124,144,131
558,125,125,132
559,126,127,130
560,127,133,124
561,16,123,136
562,17,119,123
563,18,122,138
564,19,134,121
565,20,124,119
566,21,141,122
567,22,122,121
568,23,127,127
569,24,126,131
570,25,121,140
571,26,131,125
572,27,124,125
573,28,111,127
574,29,131,134
575,30,135,128
576,31,110,123
577,32,138,132
578,33,114,125
579,34,115,130
580,35,134,123
581,36,135,135
582,37,133,140
583,38,117,126
584,39,133,132
585,40,114,141
586,41,142,141
587,42,134,125
588,43,134,134
589,44,136,131
590,45,118,128
591,46,134,126
592,47,119,129
593,48,131,136
594,49,121,132
595,50,136,122
596,51,148,136
597,52,133,124
598,53,133,129
599,54,120,135
600,55,130,120
601,56,136,119
602,57,118,136
603,58,120,120
604,59,130,121
605,60,125,122
606,61,141,123
607,62,131,125
608,63,118,121
609,64,122,118
610,65,130,121
611,66,129,118
612,67,141,128
613,68,125,132
614,69,124,132
615,70,134,125
616,71,127,138
617,72,136,127
618,73,134,122
619,74,120,113
620,75,133,123
621,76,141,125
622,77,108,148
623,78,127,122
624,79,125,126
625,80,123,118
626,81,128,132
627,82,134,127
628,83,129,140
629,84,144,134
630,85,116,138
631,86,126,113
632,87,135,134
633,88,127,132
634,89,111,135
635,90,128,130
636,91,124,124
637,92,127,133
638,93,130,121
639,94,134,122
640,95,133,127
641,96,116,136
642,97,122,125
643,98,122,136
644,99,128,127
645,100,134,148
646,101,124,124
647,102,143,114
648,103,126,126
649,104,122,135
650,105,139,129
651,106,124,120
652,107,133,132
653,108,129,135
654,109,128,132
655,110,124,124
656,111,127,116
657,112,128,123
658,113,138,120
659,114,130,123
660,115,128,130
661,116,145,122
662,117,132,129
663,118,121,127
664,119,142,123
665,120,123,129
666,121,131,126
667,122,138,124
668,123,128,129
669,124,133,130
670,125,112,132
671,126,131,119
672,127,147,133
673,16,122,130
674,17,129,138
675,18,122,112
676,19,144,120
677,20,141,123
678,21,128,132
679,22,136,133
680,23,130,116
681,24,130,127
682,25,130,118
683,26,128,120
684,27,137,118
685,28,128,117
686,29,139,127
687,30,124,127
688,31,135,120
689,32,114,125
690,33,111,120
691,34,120,130
692,35,131,122
693,36,130,131
694,37,118,130
695,38,113,118
696,39,132,120
697,40,124,125
698,41,147,140
699,42,121,136
700,43,120,128
701,44,141,126
702,45,127,124
703,46,125,125
704,47,109,115
705,48,137,116
706,49,124,127
707,50,143,126
708,51,130,126
709,52,133,127
710,53,116,121
711,54,133,115
712,55,133,117
713,56,119,141
714,57,122,127
715,58,141,134
716,59,117,110
717,60,120,124
718,61,114,129
719,62,133,125
720,63,130,130
721,64,126,121
722,65,120,133
723,66,137,118
724,67,134,132
725,68,137,127
726,69,136,132
727,70,129,141
728,71,133,136
729,72,114,124
730,73,137,128
731,74,115,138
732,75,139,125
733,76,139,121
734,77,121,120
735,78,126,131
736,79,132,132
737,80,137,135
738,81,134,118
739,82,118,136
740,83,136,133
741,84,141,121
742,85,135,139
743,86,132,130
744,87,145,134
745,88,127,130
746,89,120,122
747,90,124,128
748,91,135,136
749,92,122,108
750,93,138,144
751,94,126,124
752,95,130,144
753,96,132,127
754,97,127,129
755,98,129,131
756,99,122,154
757,100,125,133
758,101,112,123
759,102,134,134
760,103,121,124
761,104,127,141
762,105,122,138
763,106,132,125
764,107,133,122
765,108,128,114
766,109,125,136
767,110,124,126
768,111,123,117
769,112,120,129
770,113,124,122
771,114,129,143
772,115,127,135
773,116,126,147
774,117,132,134
775,118,131,111
776,119,130,118
777,120,121,128
778,121,126,133
779,122,135,117
780,123,114,127
781,124,132,134
782,125,132,139
783,126,122,120
784,127,127,134
785,16,123,128
786,17,131,131
787,18,138,130
788,19,137,130
789,20,119,121
790,21,120,124
791,22,119,129
792,23,121,150
793,24,140,126
794,25,128,153
795,26,128,121
796,27,116,134
797,28,128,137
798,29,109,126
799,30,134,123
800,31,132,123
801,32,130,131
802,33,126,120
803,34,126,145
804,35,120,121
805,36,137,130
806,37,112,146
807,38,142,120
808,39,128,123
809,40,131,126
810,41,135,137
811,42,120,126
812,43,125,128
813,44,130,139
814,45,110,131
815,46,134,122
816,47,128,128
817,48,137,115
818,49,128,119
819,50,151,141
820,51,132,137
821,52,124,124
822,53,126,128
823,54,126,132
824,55,129,122
825,56,135,123
826,57,123,141
827,58,122,134
828,59,133,122
829,60,128,125
830,61,128,153
831,62,129,126
832,63,127,124
833,64,137,133
834,65,129,148
835,66,139,137
836,67,136,133
837,68,131,114
838,69,137,126
839,70,132,137
840,71,135,121
841,72,122,134
842,73,146,129
843,74,127,123
844,75,143,123
845,76,128,128
846,77,139,138
847,78,123,122
848,79,114,130
849,80,135,131
850,81,127,117
851,82,123,128
852,83,129,128
853,84,130,126
854,85,137,132
855,86,119,121
856,87,150,124
857,88,130,136
858,89,126,137
859,90,138,122
860,91,122,130
861,92,133,117
862,93,130,132
863,94,119,133
864,95,125,125
865,96,125,134
866,97,144,113
867,98,104,122
868,99,131,121
869,100,114,126
870,101,118,130
871,102,118,133
872,103,121,132
873,104,145,121
874,105,124,137
875,106,132,130
876,107,133,132
877,108,129,135
878,109,126,129
879,110,116,132
880,111,134,114
881,112,124,130
882,113,136,131
883,114,126,126
884,115,124,123
885,116,134,138
886,117,125,118
887,118,127,124
888,119,123,123
889,120,124,123
890,121,135,138
891,122,123,126
892,123,126,131
893,124,127,127
894,125,123,146
895,126,147,139
896,127,132,148
897,16,103,119
898,17,114,144
899,18,134,132
900,19,136,120
901,20,128,137
902,21,119,136
903,22,114,122
904,23,123,133
905,24,118,125
906,25,122,125
907,26,126,118
908,27,132,134
909,28,122,125
910,29,136,125
911,30,133,138
912,31,132,133
913,32,128,144
914,33,129,127
915,34,137,131
916,35,118,135
917,36,140,127
918,37,124,127
919,38,123,120
920,39,118,133
921,40,128,127
922,41,118,127
923,42,121,124
924,43,117,135
925,44,127,126
926,45,121,129
927,46,109,123
928,47,120,113
929,48,114,142
930,49,127,124
931,50,130,143
932,51,116,130
933,52,140,123
934,53,130,129
935,54,120,123
936,55,121,134
937,56,137,123
938,57,125,121
939,58,130,137
940,59,137,128
941,60,119,131
942,61,134,123
943,62,127,141
944,63,124,138
945,64,133,112
946,65,137,120
947,66,125,123
948,67,129,132
949,68,117,131
950,69,127,141
951,70,123,123
952,71,113,126
953,72,134,120
954,73,142,119
955,74,120,135
956,75,129,136
957,76,125,133
958,77,129,130
959,78,116,124
960,79,131,139
961,80,123,130
962,81,146,132
963,82,117,120
964,83,149,140
965,84,124,135
